TRXN_DT,PAY_REF,TRXN_AMT,MERCHNT_NAME,PROCESS_DT
05/07/2019,Reference: AT191870033000010427982,7,IZ *ROSSLYN COFFEE LONDON, Process Date 05/07/2019
06/07/2019,Reference: AT191880027000010390443,905,GOYARD MAYFAIR, Process Date 07/07/2019
06/07/2019,Reference: AT191890034000010374819,130.5,HARRODS LIMITED LONDON, Process Date 08/07/2019
06/07/2019,Reference: AT191890034000010374823,-636,HARRODS LIMITED LONDON, Process Date 08/07/2019
06/07/2019,Reference: AT191890034000010374829,90,HARRODS LIMITED LONDON, Process Date 08/07/2019
06/07/2019,Reference: AT191890034000010374865,25.2,HARRODS LIMITED LONDON, Process Date 08/07/2019
06/07/2019,Reference: AT191880027000010410541,11.85,IZ *KOVA PATISSERIE LONDON, Process Date 06/07/2019
06/07/2019,Reference: AT191880027000010408920,7.34,PRET A MANGER LONDON, Process Date 06/07/2019
06/07/2019,Reference: AT191880027000010419291,4.5,WASABI BROMPTON ROAD BR LONDON,Wasabi - Brompton Road Process Date 06/07/2019  Wasabi - Brompton Road
07/07/2019,Reference: AT191890034000010374920,360,HARRODS LIMITED LONDON, Process Date 08/07/2019
07/07/2019,Reference: AT191890034000010396339,8.4,IZ *THE COFFEEWORKS PRO LONDON, Process Date 07/07/2019
07/07/2019,Reference: AT191890034000010366914,4.34,W H SMITH TRAVEL HEATH HOWNSLOW,GOODS Process Date 07/07/2019  GOODS
08/07/2019,Reference: AT191900041000010444303,3.5,IZ *ROSSLYN COFFEE LONDON, Process Date 08/07/2019
09/07/2019,Reference: AT191910032000010451871,2.8,MARKS & SPENCER - STRAT LONDON,RETAIL GOODS Process Date 10/07/2019  RETAIL GOODS
09/07/2019,Reference: AT191910032000010441883,10.58,PRET A MANGER-CITY ROAD LONDON, Process Date 09/07/2019
09/07/2019,Reference: AT191910032000010477360,30,STRATFORD SELF SERVICE LONDON,GOODS Process Date 09/07/2019  GOODS
10/07/2019,Reference: AT191920034000010457895,6.5,IZ *ROSSLYN COFFEE LONDON, Process Date 10/07/2019
10/07/2019,Reference: AT191920034000010467321,3.2,STARBUCKS TESCO LONDON,12754 St Pancras International Process Date 10/07/2019  12754 St Pancras International
